=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.02.08 17:01:49 =~=~=~=~=~=~=~=~=~=~=~=

Time, Trap_L, Pec_L
1731, 289, 4, 
1733, 0, 1, 
1735, 324, 1, 
1737, 324, 1, 
1739, 100, 16, 
1741, 100, 1, 
1743, 0, 9, 
1745, 225, 0, 
1747, 289, 9, 
1750, 121, 4, 
1752, 196, 9, 
1754, 49, 4, 
1756, 169, 0, 
1758, 324, 9, 
1760, 361, 9, 
1762, 1, 25, 
1764, 100, 0, 
1766, 121, 9, 
1768, 361, 16, 
1770, 144, 9, 
1772, 9, 1, 
1774, 169, 1, 
1776, 144, 4, 
1778, 169, 16, 
1780, 324, 4, 
1782, 16, 25, 
1784, 100, 1, 
1786, 225, 4, 
1788, 144, 25, 
1790, 441, 1, 
1793, 49, 4, 
1795, 196, 1, 
1797, 225, 4, 
1799, 144, 16, 
1801, 196, 1, 
1803, 64, 9, 
1805, 81, 1, 
1807, 324, 4, 
1809, 196, 16, 
1811, 64, 1, 
1813, 36, 9, 
1815, 144, 1, 
1817, 529, 9, 
1819, 100, 9, 
1821, 4, 4, 
1823, 49, 1, 
1826, 49, 9, 
1828, 441, 1, 
1830, 324, 4, 
1832, 1, 4, 
1835, 100, 1, 
1837, 225, 1, 
1839, 169, 9, 
1841, 400, 9, 
1843, 16, 16, 
1845, 100, 4, 
1847, 361, 25, 
1849, 400, 16, 
1851, 49, 16, 
1853, 64, 4, 
1855, 100, 4, 
1857, 256, 16, 
1859, 144, 16, 
1861, 144, 1, 
1863, 100, 25, 
1865, 121, 1, 
1867, 289, 9, 
1869, 169, 25, 
1871, 16, 9, 
1873, 16, 1, 
1875, 64, 1, 
1878, 484, 16, 
1880, 256, 16, 
1882, 4, 4, 
1884, 64, 1, 
1886, 225, 1, 
1888, 324, 16, 
1890, 256, 9, 
1892, 1, 9, 
1894, 196, 0, 
1896, 225, 4, 
1898, 144, 25, 
1900, 324, 1, 
1902, 36, 9, 
1904, 196, 0, 
1906, 121, 9, 
1908, 196, 9, 
1910, 256, 9, 
1912, 81, 4, 
1914, 121, 0, 
