=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.02.08 16:52:51 =~=~=~=~=~=~=~=~=~=~=~=

Time, Trap_L, Pec_R
0,  0, 
1733, 25, 0, 
1735, 36, 36, 
1737, 16, 16, 
1739, 9, 0, 
1741, 16, 4, 
1743, 49, 1, 
1745, 4, 0, 
1747, 169, 1, 
1750, 36, 1, 
1753, 100, 0, 
1755, 4, 9, 
1757, 0, 0, 
1759, 0, 0, 
1761, 1, 0, 
1763, 1, 1, 
1765, 0, 1, 
1767, 4, 0, 
1769, 0, 0, 
1771, 1, 1, 
1773, 16, 4, 
1775, 0, 1, 
1777, 4, 1, 
1779, 16, 4, 
1781, 9, 0, 
1783, 1, 1, 
1785, 1, 1, 
1787, 1, 0, 
1789, 0, 1, 
1792, 0, 1, 
1794, 0, 0, 
1796, 25, 4, 
1798, 25, 1, 
1800, 0, 0, 
1802, 1, 0, 
1804, 1, 1, 
1806, 0, 1, 
1808, 4, 4, 
1810, 4, 0, 
1812, 4, 0, 
1814, 0, 1, 
1816, 0, 1, 
1818, 1, 0, 
1820, 25, 1, 
1822, 49, 4, 
1824, 25, 4, 
1826, 25, 1, 
1828, 16, 1, 
1830, 25, 4, 
1832, 100, 0, 
1835, 0, 9, 
1838, 16, 1, 
1840, 0, 0, 
1842, 4, 0, 
1844, 1, 9, 
1846, 0, 1, 
1848, 9, 1, 
1850, 0, 0, 
1852, 81, 0, 
1854, 484, 1, 
1856, 121, 1, 
1858, 441, 16, 
1860, 144, 4, 
1862, 1, 9, 
1864, 4, 16, 
1866, 25, 0, 
1868, 1, 16, 
1870, 1, 4, 
1872, 1, 0, 
1874, 4, 4, 
1876, 1, 0, 
1879, 0, 4, 
1881, 0, 0, 
1883, 36, 0, 
1885, 256, 25, 
1887, 1, 4, 
1889, 81, 16, 
1891, 9, 0, 
1893, 9, 4, 
1895, 4, 1, 
1897, 1, 0, 
1899, 0, 9, 
1901, 16, 0, 
1903, 0, 0, 
1905, 4, 0, 
1907, 0, 1, 
1909, 0, 4, 
1911, 1, 0, 
1913, 100, 0, 
1915, 36, 0, 
1917, 100, 0, 
1920, 25, 1, 
1922, 144, 0, 
1924, 9, 1, 
1926, 121, 4, 
1929, 9, 1, 
1931, 1, 1, 
1933, 0, 0, 
1935, 0, 0, 
1937, 0, 9, 
1939, 0, 0, 
1941, 16, 0, 
1943, 36, 16, 
1945, 4, 1, 
1947, 576, 25, 
1949, 441, 36, 
1951, 256, 0, 
1953, 225, 36, 
1955, 225, 1, 
1957, 16, 16, 
1959, 49, 25, 
1961, 4, 9, 
1964, 1, 0, 
1966, 0, 9, 
1968, 4, 0, 
1970, 256, 25, 
1972, 16, 1, 
1974, 121, 25, 
1976, 81, 1, 
1978, 0, 9, 
1980, 4, 25, 
1982, 1, 0, 
1984, 1, 9, 
1986, 16, 9, 
1988, 1, 0, 
1990, 0, 9, 
1992, 16, 1, 
1994, 4, 9, 
1996, 4, 4, 
1998, 1, 1, 
2000, 1, 9, 
2002, 0, 1, 
2004, 0, 4, 
2007, 4, 1, 
2009, 0, 0, 
2011, 1, 1, 
2013, 1, 1, 
2015, 1, 1, 
2017, 36, 0, 
2020, 16, 0, 
2022, 16, 0, 
2024, 36, 0, 
2026, 0, 4, 
2028, 16, 0, 
2030, 529, 16, 
2032, 4, 9, 
2034, 289, 25, 
2036, 49, 0, 
2038, 36, 25, 
2040, 4, 9, 
2042, 16, 4, 
2044, 9, 4, 
2046, 4, 4, 
2049, 64, 4, 
2051, 169, 16, 
2053, 1, 4, 
2055, 121, 16, 
2057, 4, 0, 
2059, 0, 9, 
2061, 0, 9, 
2063, 1, 0, 
2065, 16, 9, 
2067, 0, 1, 
2069, 1, 0, 
2071, 9, 4, 
2073, 0, 0, 
2075, 0, 4, 
2077, 4, 0, 
2079, 0, 0, 
2081, 1, 1, 
2083, 1, 0, 
2085, 0, 0, 
2087, 1, 0, 
2089, 0, 0, 
2092, 0, 1, 
2094, 0, 0, 
2096, 0, 0, 
2098, 1, 0, 
2100, 1, 0, 
2102, 0, 1, 
2105, 0, 0, 
2107, 4, 1, 
2109, 0, 0, 
2111, 9, 0, 
2113, 0, 0, 
2115, 169, 4, 
2117, 0, 16, 
2119, 100, 0, 
2121, 9, 0, 
2123, 4, 25, 
2125, 0, 4, 
2127, 0, 0, 
2129, 25, 1, 
2131, 4, 1, 
2134, 25, 0, 
2136, 25, 4, 
2138, 4, 4, 
2140, 484, 0, 
2142, 81, 36, 
2144, 289, 4, 
2146, 1, 25, 
2148, 9, 9, 
2150, 1, 1, 
2152, 4, 9, 
2154, 16, 1, 
2156, 1, 0, 
2158, 1, 4, 
2160, 1, 1, 
2162, 1, 4, 
2164, 0, 0, 
2166, 1, 0, 
2168, 0, 1, 
2170, 0, 0, 
2172, 0, 1, 
2174, 1, 1, 
2177, 0, 0, 
2179, 16, 0, 
2181, 25, 0, 
2183, 225, 1, 
2185, 25, 1, 
2188, 256, 9, 
2190, 9, 1, 
2192, 81, 4, 
2194, 49, 16, 
2196, 729, 0, 
2198, 25, 49, 
2200, 400, 25, 
2202, 16, 25, 
2204, 25, 64, 
2206, 1, 0, 
2208, 4, 9, 
2210, 25, 25, 
2212, 4, 0, 
2214, 4, 9, 
2216, 4, 1, 
2219, 0, 1, 
2221, 1, 1, 
2223, 1, 1, 
2225, 4, 1, 
2227, 9, 1, 
2229, 1, 0, 
2231, 4, 0, 
2233, 1, 0, 
2235, 0, 1, 
2237, 1, 0, 
2239, 0, 0, 
2241, 0, 1, 
2243, 0, 0, 
2245, 0, 25, 
2247, 0, 9, 
2249, 1, 0, 
2251, 0, 0, 
2253, 25, 0, 
2255, 4, 0, 
2257, 4, 0, 
2259, 0, 0, 
2262, 4, 0, 
2264, 0, 0, 
2266, 36, 0, 
2268, 144, 0, 
2270, 0, 0, 
2273, 25, 1, 
2275, 9, 0, 
2277, 25, 0, 
2279, 0, 4, 
2281, 0, 0, 
2283, 4, 0, 
2285, 0, 1, 
2287, 0, 0, 
2289, 25, 1, 
2291, 0, 1, 
2293, 25, 0, 
2295, 1, 1, 
2297, 1, 4, 
2299, 1, 0, 
2301, 1, 0, 
2304, 4, 0, 
2306, 9, 0, 
2308, 1, 1, 
2310, 4, 0, 
2312, 9, 1, 
2314, 4, 9, 
2316, 9, 0, 
2318, 49, 1, 
2320, 1, 0, 
2322, 49, 1, 
2324, 0, 0, 
2326, 4, 0, 
2328, 1, 1, 
2330, 1, 1, 
2332, 0, 0, 
2334, 1, 0, 
2336, 0, 0, 
2338, 1, 0, 
2340, 1, 0, 
2342, 1, 0, 
2344, 0, 0, 
2347, 0, 0, 
2349, 1, 0, 
2352, 1, 0, 
2354, 0, 0, 
2356, 1, 0, 
2358, 1, 0, 
2360, 0, 0, 
2362, 0, 4, 
2364, 1, 4, 
2366, 9, 0, 
2368, 1, 0, 
2370, 1, 0, 
2372, 36, 0, 
2374, 4, 0, 
2376, 16, 0, 
2378, 0, 1, 
2380, 121, 1, 
2382, 64, 4, 
2384, 16, 0, 
2386, 1, 0, 
2388, 1, 1, 
2391, 0, 1, 
2393, 0, 1, 
2395, 1, 1, 
2397, 0, 0, 
2399, 0, 0, 
2401, 4, 0, 
2403, 4, 0, 
2405, 64, 1, 
2407, 0, 4, 
2409, 36, 0, 
2411, 1, 0, 
2413, 4, 1, 
2415, 1, 1, 
2417, 0, 1, 
2419, 1, 0, 
2421, 0, 1, 
2423, 1, 0, 
2425, 0, 0, 
2427, 0, 0, 
2429, 0, 0, 
2433, 1, 0, 
2435, 0, 0, 
2437, 0, 0, 
2439, 0, 0, 
2441, 1, 0, 
2443, 1, 0, 
2445, 25, 1, 
2447, 9, 4, 
2449, 36, 0, 
2451, 1, 1, 
2453, 4, 1, 
2455, 121, 16, 
2457, 2704, 9, 
2459, 100, 121, 
2461, 1024, 16, 
2463, 100, 16, 
2465, 49, 100, 
2467, 36, 9, 
2469, 0, 25, 
2471, 36, 36, 
2473, 25, 4, 
2476, 4, 9, 
2478, 9, 9, 
2480, 4, 0, 
2482, 4, 4, 
2484, 1, 1, 
2486, 1, 4, 
2488, 4, 4, 
2490, 1, 0, 
2492, 4, 4, 
2494, 0, 0, 
2496, 0, 1, 
2498, 1, 1, 
2500, 0, 0, 
2502, 1, 1, 
2504, 0, 0, 
2506, 0, 0, 
2508, 1, 1, 
2510, 0, 4, 
2512, 0, 0, 
2514, 0, 1, 
2518, 4, 1, 
2520, 1, 0, 
2522, 144, 0, 
2524, 49, 4, 
2526, 16, 0, 
2528, 1, 4, 
2530, 16, 1, 
2532, 0, 0, 
2534, 1, 4, 
2536, 25, 0, 
2538, 1, 0, 
2540, 1, 1, 
2542, 1, 0, 
2544, 4, 0, 
2546, 1, 0, 
2548, 121, 1, 
2550, 36, 0, 
2552, 25, 16, 
2554, 256, 0, 
2556, 9, 1, 
2558, 1, 16, 
2561, 4, 0, 
2563, 9, 16, 
2565, 1, 1, 
2567, 0, 1, 
2569, 1, 0, 
